logFC,AveExpr,target,P.Value,adj.P.Val,B,label
1.157321106,1.791515367,4.238336284,7.22E-05,0.014695224,0.20653958,ETV4
-1.293703871,1.602056804,-4.23530889,7.30E-05,0.014754007,0.196342533,PLA2G4F
-1.439211173,1.818326538,-4.232778548,7.36E-05,0.014784433,0.187822866,CASS4
-1.222531288,2.108585596,-4.222003587,7.64E-05,0.015299464,0.151576008,LYVE1
-1.710018613,2.625562484,-4.217519805,7.76E-05,0.015428997,0.136508143,EDNRB
-1.339197122,2.715256946,-4.200277471,8.24E-05,0.016180065,0.078650209,GIMAP5
-1.586899128,1.846077483,-4.189113067,8.57E-05,0.016765255,0.041259811,HIF3A
-1.664321767,2.818529556,-4.184569532,8.70E-05,0.016868318,0.026059583,SLIT2
-1.026706936,1.179567542,-4.18160169,8.79E-05,0.016936722,0.016135914,PIP5K1B
-1.060980877,1.260059108,-4.181565102,8.80E-05,0.016936722,0.016013601,AOX1
-1.355808599,1.975269816,-4.180619299,8.82E-05,0.016938564,0.012851958,PCAT19
-1.10237207,1.24358032,-4.178856824,8.88E-05,0.016988583,0.006961436,VNN2
-1.60804679,1.159720297,-4.170341581,9.14E-05,0.0172254,-0.021477876,MT1A
-1.114422641,1.296855609,-4.161540019,9.43E-05,0.017703073,-0.050838132,SGCA
-1.655290594,2.876982565,-4.154122789,9.67E-05,0.017995698,-0.075552574,SLCO2A1
-1.411802549,1.793681742,-4.150078525,9.81E-05,0.018193065,-0.08901739,ITIH5
-1.484091207,2.266167292,-4.148015138,9.88E-05,0.018267294,-0.09588421,CLIC3
-1.178547176,3.310326765,-4.143956879,0.000100175,0.018357096,-0.109384032,FXYD6
-1.121111543,1.462036076,-4.137137028,0.000102559,0.018681211,-0.132052941,SIRPB1
-1.194480068,1.549593022,-4.117219663,0.000109842,0.019829049,-0.198132336,RNF122
-1.274114987,1.658924406,-4.110257545,0.000112503,0.020189306,-0.221186249,MYCT1
-1.749946515,3.142354258,-4.109324582,0.000112864,0.0201944,-0.224273858,CALCRL
-1.918216246,5.093229819,-4.102546901,0.000115523,0.020548883,-0.246691975,SPARCL1
-1.35986865,1.12990471,-4.098731929,0.000117046,0.020758911,-0.259300922,None
-1.472146026,2.30664931,-4.095480672,0.000118359,0.020930617,-0.270041259,CTNNAL1
-1.72832915,2.377120337,-4.086874959,0.000121904,0.021247759,-0.298445401,BTNL9
-1.042574211,1.271723756,-4.082681065,0.000123669,0.021432126,-0.312275008,CCDC141
-1.381013556,1.694262522,-4.080835676,0.000124453,0.021473303,-0.318357618,MMRN1
-1.247810075,5.919716951,-4.080163767,0.000124739,0.021473303,-0.320571902,SNHG22
-1.404416716,2.981858385,-4.079628677,0.000124968,0.021473303,-0.322335142,ESAM
-1.473699107,2.106036979,-4.063255607,0.000132167,0.022341512,-0.376221555,ITGA8
1.896527349,2.494344712,4.062301036,0.000132599,0.022341512,-0.379359221,FUT2
-1.203839434,1.992625083,-4.057430299,0.000134824,0.022590841,-0.395362451,TBX3
-1.776050494,2.424780817,-4.034186031,0.000145945,0.024135961,-0.471575285,TSPAN7
-2.094429197,4.807961398,-4.034005944,0.000146035,0.024135961,-0.472164727,PTGDS
-1.619987839,3.77701079,-4.031524379,0.000147274,0.024150864,-0.480285498,LMCD1
-1.041681766,1.910824125,-4.030801364,0.000147637,0.024150864,-0.482650959,AFAP1L1
-1.148738545,1.85412398,-4.030640297,0.000147718,0.024150864,-0.483177879,SCN4B
-1.240827782,1.659001548,-4.023606764,0.000151295,0.024603087,-0.506175329,TPRG1
-1.114581897,2.412275133,-4.022486586,0.000151872,0.024630942,-0.509835728,SMAD6
1.132027207,3.350992662,4.019910624,0.000153208,0.024649853,-0.518250854,GPR160
-1.296548759,2.716408594,-4.017349869,0.000154547,0.024734086,-0.526613082,FPR1
-1.217319645,3.093918955,-4.016062499,0.000155225,0.024738116,-0.530815813,CACNA2D2
-1.535204407,2.369803292,-4.015752773,0.000155388,0.024738116,-0.531826821,TGFBR3
1.83253734,1.995392953,4.014571967,0.000156013,0.024772521,-0.535680773,TMPRSS4
